Date;Time;Weekday;P_pump;p_TDLAS;p_in;I_total;U_supply;external_pump;Runtime;Conc_estimate;pCH4;xCH4;T_control;T_gas;%rH_gas;
-;-;-;W;mbar;mbar;mA;V;-;s;ppm;µatm;ppm;°C;°C;%;
2023-05-16;18:39:06;2;8,734;1005,09;993,28;1666,4;12,462421;1;3566372;0;0;0;22,127;22,647;54,947;
2023-05-16;18:39:16;2;1,665;1005,22;993,48;1312,9;12,484605;1;3566382;0,554;0,534;0,545;22,322;22,651;62,945;
2023-05-16;18:39:26;2;5,545;1004,1;992,6;1601,3;12,494422;1;3566392;2,629;2,533;2,586;22,563;22,689;64,427;
2023-05-16;18:39:36;2;4,343;1003,88;992,39;1714,6;12,421389;1;3566402;2,295;2,21;2,257;22,895;22,715;64,956;
2023-05-16;18:39:46;2;6,833;1000,94;989,75;1972,775;12,246072;1;3566412;1,867;1,792;1,835;23,049;22,739;65,188;
2023-05-16;18:39:56;2;0,824;1004,04;992,37;1315,05;12,451623;1;3566422;2,222;2,14;2,185;23,199;22,757;65,179;
2023-05-16;18:40:49;2;8,584;1009,78;998,03;1565,825;12,44161;1;3566431;0;0;0;22,803;22,715;61,855;
2023-05-16;18:42:03;2;6,792;1005,22;993,4;1440,925;12,486176;1;3566449;0;0;0;22,752;22,727;61,717;
2023-05-16;18:42:13;2;7,017;1005,39;993,5;1835,925;12,293779;1;3566459;0,592;0,571;0,582;22,92;22,759;64,27;
2023-05-16;18:42:23;2;6,989;1005,46;993,52;1841,975;12,288674;1;3566469;2,985;2,879;2,937;23,194;22,801;64,657;
2023-05-16;18:42:33;2;7,034;1005,48;993,51;1847,25;12,289852;1;3566479;3,229;3,115;3,177;23,423;22,821;64,703;
2023-05-16;18:42:43;2;6,987;1005,53;993,61;1835,35;12,292798;1;3566489;3,581;3,455;3,524;23,593;22,859;64,673;
2023-05-16;18:42:53;2;6,884;1005,57;993,66;1820,625;12,297116;1;3566499;3,719;3,588;3,659;23,735;22,881;64,628;
2023-05-16;18:43:03;2;7,004;1005,6;993,82;1821,375;12,292405;1;3566509;4,18;4,033;4,112;23,861;22,911;64,549;
2023-05-16;18:43:13;2;6,815;1005,56;993,86;1817,475;12,293779;1;3566519;4,309;4,158;4,24;24,001;22,931;64,468;
2023-05-16;18:43:23;2;7,029;1005,55;993,86;1826,45;12,301043;1;3566529;4,395;4,241;4,324;24,097;22,961;64,389;
2023-05-16;18:43:33;2;6,986;1005,66;993,97;1815;12,300454;1;3566539;4,325;4,175;4,256;24,206;22,987;64,315;
2023-05-16;18:43:43;2;6,927;1005,68;993,98;1813,325;12,29908;1;3566549;4,476;4,32;4,404;24,307;23,015;64,253;
2023-05-16;18:43:53;2;6,769;1005,62;993,99;1821,4;12,303399;1;3566559;4,583;4,424;4,51;24,41;23,047;64,161;
2023-05-16;18:44:03;2;6,771;1005,63;994,11;1807,325;12,296724;1;3566569;4,601;4,442;4,528;24,508;23,067;64,074;
2023-05-16;18:44:13;2;6,851;1005,59;994,17;1812,3;12,297902;1;3566579;4,62;4,46;4,545;24,591;23,097;64,001;
2023-05-16;18:44:23;2;7,016;1005,7;994,14;1810,05;12,303792;1;3566589;4,562;4,404;4,488;24,693;23,135;63,935;
2023-05-16;18:44:33;2;6,821;1005,63;994,21;1814,025;12,300258;1;3566599;4,91;4,74;4,831;24,773;23,161;63,836;
2023-05-16;18:44:43;2;6,848;1005,66;994,24;1809,975;12,304773;1;3566609;4,666;4,504;4,591;24,861;23,197;63,757;
2023-05-16;18:44:53;2;6,83;1005,55;994,34;1807,875;12,301043;1;3566619;4,605;4,446;4,531;24,91;23,229;63,684;
2023-05-16;18:45:03;2;6,753;1005,63;994,37;1797,95;12,304577;1;3566629;4,493;4,339;4,421;25,031;23,255;63,603;
2023-05-16;18:45:13;2;6,766;1005,67;994,37;1797,55;12,303792;1;3566639;4,698;4,536;4,622;25,109;23,277;63,51;
2023-05-16;18:45:23;2;6,739;1005,75;994,41;1808,925;12,305755;1;3566649;4,682;4,521;4,607;25,176;23,307;63,418;
2023-05-16;18:45:33;2;6,67;1005,6;994,45;1803,125;12,302221;1;3566659;4,659;4,499;4,584;25,279;23,337;63,332;
2023-05-16;18:45:53;2;6,736;1005,73;994,58;1801,223;12,301702;1;3566679;5,034;4,862;4,953;25,382;23,393;63,197;
2023-05-16;18:46:03;2;6,845;1005,76;994,64;1814,825;12,301436;1;3566689;5,186;5,008;5,102;25,514;23,445;63,077;
2023-05-16;18:46:13;2;6,756;1005,82;994,64;1801,125;12,30281;1;3566699;5,669;5,476;5,578;25,588;23,477;62,991;
2023-05-16;18:46:23;2;6,614;1005,74;994,73;1790,225;12,305755;1;3566709;5,965;5,762;5,87;25,656;23,497;62,891;
2023-05-16;18:46:33;2;6,747;1005,74;994,8;1795,25;12,307129;1;3566719;6,239;6,027;6,139;25,736;23,539;62,795;
2023-05-16;18:46:43;2;6,623;1005,68;994,79;1797,5;12,299865;1;3566729;6,728;6,499;6,619;25,818;23,581;62,698;
2023-05-16;18:46:53;2;6,799;1005,82;994,92;1799,175;12,301632;1;3566739;7,187;6,944;7,072;25,879;23,613;62,594;
2023-05-16;18:47:03;2;6,845;1005,69;994,92;1804,525;12,309289;1;3566749;7,117;6,876;7,003;25,964;23,651;62,497;
2023-05-16;18:47:13;2;6,733;1005,69;994,98;1806,7;12,303399;1;3566759;7,493;7,24;7,373;26,032;23,667;62,396;
2023-05-16;18:47:23;2;6,844;1005,73;994,98;1813,9;12,303006;1;3566769;7,769;7,507;7,644;26,104;23,711;62,3;
2023-05-16;18:47:33;2;6,671;1005,67;995,01;1796,875;12,304773;1;3566779;7,587;7,331;7,466;26,17;23,747;62,202;
