HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;HydroC_CH4;
CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;CH4T-0921-001;
Date;Time;p_NDIR;p_in;Signal_raw;Signal_ref;T_sensor;Signal_proc;Conc_estimate;Concentration;T_control;T_gas;%rH_gas;
-;-;mbar;mbar;digits;digits;LSB;digits;digits;µmol/L;°C;°C;%;
2023-07-13;17:35:38;988.45;985.18;0;0;0;0;0;0;0;0;0;
2023-07-13;17:35:39;986.43;985.32;0;0;0;0;0;0;18.388;0;0;
2023-07-13;17:35:40;986.14;985.43;0;0;0;0;0;0;18.423;18.46;31.775;
2023-07-13;17:35:41;986.07;985.45;0;0;0;0;0;0;18.396;18.469;31.776;
2023-07-13;17:35:42;986.62;985.54;0;0;0;0;0;0;18.422;18.48;31.81;
2023-07-13;17:35:43;986.66;985.62;0;0;0;0;0;0;18.506;18.48;31.81;
2023-07-13;17:35:44;986.5;985.56;0;0;0;0;0;0;18.641;18.46;31.775;
2023-07-13;17:35:45;986.7;985.67;0;0;0;0;0;0;18.809;18.469;31.743;
2023-07-13;17:35:46;986.53;985.76;0;0;0;0;0;0;19.002;18.48;31.744;
2023-07-13;17:35:47;986.24;985.66;0;0;0;0;0;0;19.169;18.48;31.711;
2023-07-13;17:35:48;986.66;985.6;0;0;0;0;0;0;19.333;18.48;31.744;
2023-07-13;17:35:49;986.61;985.7;0;0;0;0;0;0;19.473;18.48;31.744;
2023-07-13;17:35:50;986.55;985.71;0;0;0;0;0;0;19.641;18.489;31.745;
2023-07-13;17:35:51;986.66;985.7;0;0;0;0;0;0;19.759;18.499;31.845;
2023-07-13;17:35:52;986.55;985.82;0;0;0;0;0;0;19.871;18.499;31.944;
2023-07-13;17:35:53;986.61;985.93;0;0;0;0;0;0;19.98;18.489;32.075;
2023-07-13;17:35:54;987.09;986;0;0;0;0;0;0;20.066;18.489;32.075;
2023-07-13;17:35:55;987.08;986.11;0;0;0;0;0;0;20.144;18.489;32.207;
2023-07-13;17:35:56;986.98;985.96;0;223188;13950;0;0;0;20.246;18.48;32.404;
2023-07-13;17:35:57;986.75;986.15;10887;872;0;7000;12740;12.399;20.302;18.48;32.635;
2023-07-13;17:35:58;987.5;986.32;10887;872;0;7000;13000;12.654;20.354;18.499;32.901;
2023-07-13;17:35:59;987.35;986.33;10887;872;0;7000;12860;12.518;20.41;18.48;33.13;
2023-07-13;17:36:00;987.35;986.48;10887;872;0;7000;12650;12.315;20.487;18.48;33.13;
2023-07-13;17:36:01;987.68;986.58;10887;872;0;7000;12880;12.54;20.526;18.48;33.459;
2023-07-13;17:36:02;987.14;986.52;10887;872;0;7000;12960;12.618;20.576;18.48;33.722;
2023-07-13;17:36:03;987.46;986.35;10887;872;0;7000;12780;12.44;20.635;18.499;34.052;
2023-07-13;17:36:04;986.81;986.24;10887;872;0;7000;12570;12.234;20.658;18.499;34.38;
2023-07-13;17:36:05;987.14;986.36;10887;872;0;7000;13500;13.141;20.672;18.489;34.707;
2023-07-13;17:36:06;987.34;986.26;10887;872;0;7000;13219;12.866;20.731;18.489;34.707;
2023-07-13;17:36:07;987.2;986.4;10887;872;0;7000;13190;12.84;20.761;18.489;35.035;
2023-07-13;17:36:08;987.41;986.68;10887;872;0;7000;13370;13.019;20.79;18.48;35.361;
2023-07-13;17:36:09;987.46;986.79;10887;872;0;7000;13440;13.089;20.825;18.489;35.754;
2023-07-13;17:36:10;988.02;986.9;10887;872;0;7000;13280;12.934;20.845;18.499;36.082;
2023-07-13;17:36:11;987.6;986.87;10887;872;0;7000;13420;13.07;20.868;18.499;36.408;
2023-07-13;17:36:12;988;986.83;10887;872;0;7000;13580;13.225;20.906;18.499;36.408;
2023-07-13;17:36:13;988.16;986.99;10887;872;0;7000;13849;13.49;20.915;18.489;36.765;
2023-07-13;17:36:14;987.94;987.22;10887;872;0;7000;13790;13.435;20.941;18.48;37.09;
2023-07-13;17:36:15;988.52;987.44;10887;872;0;7000;13509;13.164;20.977;18.499;37.417;
2023-07-13;17:36:16;988.53;987.53;10887;872;0;7000;13969;13.614;20.996;18.489;37.774;
2023-07-13;17:36:17;988.63;987.55;10887;872;0;7000;13950;13.596;21.01;18.48;38.097;
2023-07-13;17:36:18;988.22;987.51;10887;872;0;7000;14080;13.722;21.034;18.48;38.097;
2023-07-13;17:36:19;988.08;987.35;10887;872;0;7000;14090;13.729;21.048;18.489;38.39;
2023-07-13;17:36:20;988.04;987.33;10887;872;0;7000;14120;13.758;21.072;18.499;38.747;
2023-07-13;17:36:21;988.08;987.22;10887;872;0;7000;14030;13.669;21.095;18.48;39.036;
2023-07-13;17:36:22;988.16;987.16;10887;872;0;7000;14000;13.639;21.121;18.499;39.33;
2023-07-13;17:36:23;987.8;987.11;10887;872;0;7000;13889;13.53;21.123;18.499;39.33;
2023-07-13;17:36:24;988.35;987.22;10887;872;0;7000;14130;13.767;21.159;18.48;39.65;
2023-07-13;17:36:25;988.46;987.43;10887;872;0;7000;13940;13.584;21.152;18.499;39.911;
2023-07-13;17:36:26;988.15;987.46;10887;872;0;7000;14320;13.955;21.169;18.489;40.232;
2023-07-13;17:36:27;988.15;987.38;10887;872;0;7000;14370;14.003;21.188;18.48;40.521;
2023-07-13;17:36:28;988.37;987.54;10887;872;0;7000;14170;13.81;21.196;18.499;40.813;
2023-07-13;17:36:29;988.81;987.71;10887;872;0;7000;14670;14.3;21.218;18.499;40.813;
2023-07-13;17:36:30;988.52;987.72;10887;872;0;7000;14290;13.929;21.245;18.48;41.068;
2023-07-13;17:36:31;988.75;988.08;10887;872;0;7000;14380;14.022;21.256;18.489;41.326;
2023-07-13;17:36:32;989;988.32;10887;872;0;7000;14500;14.143;21.267;18.499;41.648;
2023-07-13;17:36:33;989.08;988.23;10887;872;0;7000;14309;13.955;21.25;18.48;41.903;
2023-07-13;17:36:34;989.19;988.25;10887;872;0;7000;14150;13.8;21.277;18.489;42.16;
2023-07-13;17:36:35;988.94;988.31;10887;872;0;7000;14429;14.073;21.294;18.489;42.16;
2023-07-13;17:36:36;989.34;988.25;10887;872;0;7000;14240;13.888;21.309;18.489;42.448;
2023-07-13;17:36:37;989.45;988.34;10887;872;0;7000;14460;14.104;21.335;18.489;42.672;
2023-07-13;17:36:38;988.93;988.3;10887;872;0;7000;14090;13.743;21.339;18.499;42.929;
2023-07-13;17:36:39;988.97;988.19;10887;872;0;7000;14589;14.228;21.357;18.499;43.185;
2023-07-13;17:36:40;989.08;988.34;10887;872;0;7000;14280;13.928;21.373;18.48;43.438;
2023-07-13;17:36:41;989.34;988.36;10887;872;0;7000;14210;13.86;21.375;18.48;43.438;
2023-07-13;17:36:42;989.44;988.47;10887;872;0;7000;14349;13.998;21.39;18.48;43.661;
2023-07-13;17:36:43;989.2;988.54;10887;872;0;7000;13950;13.609;21.393;18.489;43.885;
2023-07-13;17:36:44;989.41;988.41;10887;872;0;7000;14110;13.764;21.402;18.489;44.14;
2023-07-13;17:36:45;989.07;988.49;10887;872;0;7000;14009;13.666;21.441;18.489;44.331;
2023-07-13;17:36:46;989.59;988.49;10887;872;0;7000;14330;13.979;21.428;18.489;44.331;
2023-07-13;17:36:47;989.75;988.72;10887;872;0;7000;13849;13.513;21.448;18.489;44.554;
2023-07-13;17:36:48;989.47;988.78;10887;872;0;7000;13950;13.613;21.478;18.48;44.775;
2023-07-13;17:36:49;989.92;988.95;10887;872;0;7000;13670;13.342;21.458;18.489;44.967;
2023-07-13;17:36:50;989.92;989.08;10887;872;0;7000;14280;13.939;21.487;18.499;45.222;
2023-07-13;17:36:51;989.71;989.13;10887;872;0;7000;14019;13.685;21.503;18.48;45.41;
2023-07-13;17:36:52;990.48;989.33;10887;872;0;7000;13769;13.443;21.507;18.48;45.41;
