CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;
CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;CH4P-0519-001;
Date;Time;Weekday;P_pump;p_TDLAS;p_in;I_total;U_supply;external_pump;internal_1;internal_2;Runtime;internal_3;internal_4;internal_5;internal_6;Conc_estimate;pCH4;xCH4;T_control;T_gas;%rH_gas;
-;-;-;W;mbar;mbar;mA;V;-;-;-;s;-;-;-;-;ppm;µatm;ppm;°C;°C;%;
2023-05-17;14:00:36;3;0.496;991.45;980.08;1199.125;12.47744;1;1000;0;3457666;12;976;0;22138;2.226;2.139;2.211;23.674;22.44;38.163;
2023-05-17;14:01:36;3;0.498;991.41;979.8;1197.887;12.47793;1;1000;0;3457726;10;979;0;23107;1.982;1.903;1.968;24.476;22.69;37.752;
2023-05-17;14:02:36;3;0.499;991.39;979.74;1196.787;12.478323;1;1000;0;3457786;8;981;0;23815;1.821;1.749;1.809;25.115;22.962;37.323;
2023-05-17;14:04:21;3;0.503;991.39;979.72;1195.837;12.478519;1;1000;0;3457891;6;983;0;24674;1.793;1.722;1.781;26.109;23.468;36.513;
2023-05-17;14:06:16;3;0.505;991.41;979.67;1194.351;12.477709;1;1000;0;3458006;7;984;0;25236;1.314;1.261;1.305;26.909;23.957;35.76;
2023-05-17;14:07:16;3;0.507;991.4;979.64;1193.45;12.477538;1;1000;0;3458066;6;984;0;25634;1.745;1.676;1.734;27.57;24.422;35.11;
2023-05-17;14:19:11;3;0.513;991.31;979.2;1188.708;12.481022;1;1000;0;3458777;9;980;0;27988;2.133;2.048;2.119;31.742;27.75;30.778;
2023-05-17;14:20:11;3;0.515;991.21;979.09;1188.787;12.480973;1;1000;0;3458837;12;979;0;28634;2.035;1.954;2.022;32.85;28.662;29.642;
2023-05-17;14:21:11;3;0.515;991.3;979.05;1188.312;12.481268;1;1000;0;3458897;11;978;-1;25967;1.805;1.732;1.793;33.207;28.971;29.312;
2023-05-17;14:22:11;3;0.516;991.44;979.04;1187.087;12.482053;1;1000;0;3458957;12;977;0;29074;1.835;1.761;1.823;33.56;29.271;28.972;
2023-05-17;14:23:11;3;0.516;991.28;979.07;1187.125;12.482348;1;1000;0;3459017;12;977;0;29290;1.78;1.709;1.768;33.904;29.58;28.623;
2023-05-17;14:24:11;3;0.517;991.2;979.08;1185.8;12.482544;1;1000;0;3459077;12;976;0;29513;2.096;2.012;2.082;34.245;29.883;28.3;
2023-05-17;14:25:11;3;0.517;991.48;979.03;1185.437;12.483133;1;1000;0;3459137;14;975;0;29751;1.923;1.846;1.91;34.578;30.178;27.985;
2023-05-17;14:26:11;3;0.518;991.4;979.01;1184.737;12.483624;1;1000;0;3459197;14;976;0;29949;1.277;1.226;1.269;34.905;30.46;27.662;
2023-05-17;14:27:11;3;0.518;991.03;979.02;1184.837;12.48333;1;1000;0;3459257;14;975;-1;27154;1.447;1.389;1.438;35.231;30.75;27.356;
2023-05-17;14:28:11;3;0.519;991.15;978.96;1184.65;12.483526;1;1000;0;3459317;15;974;0;30370;1.533;1.471;1.523;35.547;31.038;27.056;
