Measurement type,Year,Month,Day,Hour,Minute,Second,Zero A/D,Current A/D,CO2,IRGA temperature,Humidity,Humidity sensor temperature,Cell gas pressure,Battery voltage
%s,%4.0f,%2.0f,%2.0f,%2.0f,%2.0f,%2.0f,%5.0f,%5.0f,%03.02f,%02.1f,%02.2f,%02.2f,%04d,%02.1f
W M,2023,05,11,15,43,06,54349,49392,716.04,45.00,8.50,21.40,0979,11.5
W M,2023,05,11,15,53,10,54349,49398,705.24,45.00,8.60,21.60,0988,11.6
W M,2023,05,11,16,05,16,54349,49414,699.29,45.00,8.60,21.70,0991,11.4
W M,2023,05,11,16,15,20,54349,49426,699.68,45.00,8.60,21.70,0988,11.5
W M,2023,05,11,16,25,25,54349,49475,689.92,45.00,8.60,21.70,0989,11.6
W M,2023,05,11,16,35,30,54349,49488,687.47,45.00,8.60,21.70,0989,11.5
W M,2023,05,11,16,45,35,54349,49450,695.59,45.00,8.60,21.70,0988,11.4
W M,2023,05,11,16,55,40,54349,49429,699.80,45.00,8.60,21.70,0988,11.6
W M,2023,05,11,17,05,44,54349,49409,703.02,45.00,8.60,21.70,0988,11.6
W M,2023,05,11,17,15,49,54349,49387,707.22,45.00,8.60,21.70,0989,11.5
W M,2023,05,11,17,25,54,54349,49358,712.63,45.00,8.60,21.70,0989,11.5
W M,2023,05,11,17,35,59,54349,49378,709.49,45.00,8.60,21.70,0988,11.6
W M,2023,05,11,17,46,04,54349,49358,712.44,45.00,8.60,21.70,0989,11.4
W M,2023,05,11,17,56,08,54349,49363,711.40,45.00,8.60,21.80,0989,11.6
W M,2023,05,11,18,06,13,54349,49376,709.83,45.00,8.60,21.80,0988,11.5
W M,2023,05,11,18,16,18,54349,49350,714.30,45.00,8.60,21.80,0989,11.5
W M,2023,05,11,18,26,23,54349,49349,715.13,45.00,8.60,21.80,0988,11.5
W M,2023,05,11,18,36,28,54349,49315,722.85,45.00,8.60,21.90,0987,11.6
W M,2023,05,11,18,46,32,54349,49273,730.21,45.00,8.70,22.00,0988,11.5
W M,2023,05,11,18,56,37,54349,49242,738.15,45.00,8.60,22.00,0986,11.6
W M,2023,05,11,19,06,42,54349,49237,740.28,45.00,8.70,22.00,0985,11.5
W M,2023,05,11,19,16,47,54349,49253,739.71,45.00,8.60,21.90,0983,11.6
W M,2023,05,11,19,26,51,54349,49264,740.42,45.00,8.70,22.00,0980,11.6
W M,2023,05,11,19,36,56,54349,49292,735.98,45.00,8.70,22.00,0979,11.5
W M,2023,05,11,19,47,01,54349,49290,736.17,45.00,8.70,22.10,0979,11.5
W M,2023,05,11,19,57,06,54349,49286,737.35,45.00,8.70,22.10,0979,11.4
W M,2023,05,11,20,07,10,54349,49277,738.88,45.00,8.70,22.10,0979,11.5
W M,2023,05,11,20,17,15,54349,49296,734.43,45.00,8.70,22.00,0980,11.4
W M,2023,05,11,20,27,20,54349,49279,737.89,45.00,8.70,22.00,0980,11.5
W M,2023,05,11,20,37,25,54349,49270,739.04,45.00,8.60,21.90,0980,11.6
W M,2023,05,11,20,47,29,54349,49266,739.78,45.00,8.60,21.80,0980,11.6
W M,2023,05,11,20,57,34,54349,49262,739.62,45.00,8.60,21.70,0981,11.5
W M,2023,05,11,21,07,39,54349,49276,736.78,45.00,8.60,21.70,0981,11.5
W M,2023,05,11,21,17,44,54349,49259,739.43,45.00,8.60,21.70,0982,11.6
W M,2023,05,11,21,27,48,54349,49255,740.26,45.00,8.60,21.60,0982,11.5
W M,2023,05,11,21,37,53,54349,49246,741.50,45.00,8.60,21.60,0982,11.6
W M,2023,05,11,21,47,58,54349,49235,743.68,45.00,8.60,21.50,0982,11.6
W M,2023,05,11,21,58,03,54349,49265,737.62,45.00,8.50,21.50,0982,11.4
W M,2023,05,11,22,09,00,54396,49219,754.39,45.00,8.50,21.50,0984,11.5
W M,2023,05,11,22,19,05,54396,49204,757.23,45.00,8.50,21.50,0984,11.5
W M,2023,05,11,22,29,09,54396,49260,745.11,45.00,8.50,21.50,0985,11.6
W M,2023,05,11,22,39,14,54396,49183,760.19,45.00,8.50,21.50,0985,11.5
W M,2023,05,11,22,49,19,54396,49177,761.48,45.00,8.50,21.50,0985,11.6
W M,2023,05,11,22,59,24,54396,49167,763.29,45.00,8.50,21.50,0985,11.5
W M,2023,05,11,23,09,28,54396,49224,751.68,45.00,8.60,21.50,0985,11.5
W M,2023,05,11,23,19,33,54396,49201,756.52,45.00,8.60,21.60,0985,11.5
W M,2023,05,11,23,29,38,54396,49229,750.23,45.00,8.60,21.60,0986,11.5
W M,2023,05,11,23,39,43,54396,49151,765.69,45.00,8.60,21.60,0986,11.5
W M,2023,05,11,23,49,47,54396,49166,762.51,45.00,8.60,21.60,0986,11.5
W M,2023,05,11,23,59,52,54396,49219,752.32,45.00,8.60,21.60,0986,11.4
W M,2023,05,12,00,09,57,54396,49224,751.15,45.00,8.60,21.60,0986,11.5
W M,2023,05,12,00,20,02,54396,49217,751.85,45.00,8.60,21.60,0986,11.4
W M,2023,05,12,00,30,07,54396,49284,738.51,45.00,8.60,21.60,0986,11.4
W M,2023,05,12,00,40,11,54396,49298,736.23,45.00,8.60,21.70,0986,11.6
W M,2023,05,12,00,50,16,54396,49260,745.64,45.00,8.60,21.70,0984,11.6
W M,2023,05,12,01,00,21,54396,49226,752.56,45.00,8.60,21.70,0984,11.6
W M,2023,05,12,01,10,26,54396,49289,739.53,45.00,8.60,21.70,0984,11.5
W M,2023,05,12,01,20,30,54396,49289,739.39,45.00,8.60,21.70,0984,11.5
W M,2023,05,12,01,30,35,54396,49282,740.60,45.00,8.60,21.70,0984,11.5
W M,2023,05,12,01,40,40,54396,49298,737.69,45.00,8.60,21.70,0984,11.5
W M,2023,05,12,01,50,45,54396,49251,746.34,45.00,8.60,21.70,0985,11.5
W M,2023,05,12,02,00,49,54396,49232,749.63,45.00,8.60,21.60,0986,11.5
W M,2023,05,12,02,10,54,54396,49256,744.48,45.00,8.60,21.60,0986,11.5
W M,2023,05,12,02,20,59,54396,49307,734.85,45.00,8.60,21.60,0985,11.5
W M,2023,05,12,02,31,03,54396,49284,739.15,45.00,8.60,21.60,0986,11.6
W M,2023,05,12,02,41,08,54396,49298,736.33,45.00,8.60,21.70,0986,11.5
W M,2023,05,12,02,51,13,54396,49269,741.79,45.00,8.60,21.70,0986,11.6
W M,2023,05,12,03,01,18,54396,49276,739.44,45.00,8.60,21.70,0987,11.6
W M,2023,05,12,03,11,22,54396,49324,728.60,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,03,21,27,54396,49393,714.95,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,03,31,32,54396,49418,709.85,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,03,41,37,54396,49442,705.29,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,03,51,41,54396,49503,693.36,45.00,8.60,21.70,0988,11.5
W M,2023,05,12,04,02,38,54405,49673,661.36,45.00,8.50,21.60,0989,11.5
W M,2023,05,12,04,12,43,54405,49557,683.83,45.00,8.50,21.60,0989,11.6
W M,2023,05,12,04,22,48,54405,49536,688.05,45.00,8.60,21.70,0989,11.6
W M,2023,05,12,04,32,52,54405,49596,677.28,45.00,8.60,21.60,0988,11.5
W M,2023,05,12,04,42,57,54405,49623,672.52,45.00,8.60,21.60,0988,11.5
W M,2023,05,12,04,53,02,54405,49637,669.44,45.00,8.60,21.70,0988,11.6
W M,2023,05,12,05,03,07,54405,49615,672.85,45.00,8.60,21.70,0989,11.6
W M,2023,05,12,05,13,11,54405,49628,670.59,45.00,8.60,21.70,0989,11.6
W M,2023,05,12,05,23,16,54405,49631,669.71,45.00,8.60,21.70,0989,11.5
W M,2023,05,12,05,33,21,54405,49636,667.76,45.00,8.60,21.70,0990,11.5
W M,2023,05,12,05,43,26,54405,49683,658.79,45.00,8.60,21.70,0990,11.5
W M,2023,05,12,05,53,30,54405,49698,655.71,45.00,8.60,21.70,0990,11.5
W M,2023,05,12,06,03,35,54405,49768,641.97,45.00,8.60,21.70,0991,11.6
W M,2023,05,12,06,13,40,54405,49742,646.67,45.00,8.60,21.70,0991,11.5
W M,2023,05,12,06,23,44,54405,49754,644.04,45.00,8.60,21.70,0992,11.5
W M,2023,05,12,06,33,49,54405,49733,647.75,45.00,8.60,21.70,0992,11.6
W M,2023,05,12,06,43,54,54405,49748,644.69,45.00,8.60,21.70,0992,11.5
W M,2023,05,12,06,53,59,54405,49693,654.79,45.00,8.60,21.70,0992,11.6
W M,2023,05,12,07,04,03,54405,49666,660.03,45.00,8.60,21.70,0992,11.6
W M,2023,05,12,07,14,08,54405,49700,654.29,45.00,8.60,21.70,0992,11.6
W M,2023,05,12,07,24,13,54405,49729,648.41,45.00,8.60,21.70,0992,11.5
